Question,Answer
Will I need to use my PIN at every merchant establishment?,"Effective 1 December 2013, every POS transaction done with your HSBC India Debit Card at a merchant establishment in India will require PIN validation. If the POS terminal does not ask for PIN entry and subsequently the transaction is received by the Bank without ATM PIN, the Bank may decline such transaction since they do not meet the RBI mandate of PIN validation."
How do I shop online using my HSBC India Debit Card?,"Shopping online with HSBC India Debit Card is simple. You will first need to ensure that your debit card is activated.
When you visit a website to make a purchase online or make a bill payment, please check if the website accepts Visa debit cards for online transaction. We request you to visit the terms and conditions towards the usage of the website prior to undertaking any online transaction. Usually this information is given on the home page or the payment page.
To initiate the online transaction, you will be required to enter the following details on the payment page:
Card number
Card expiry date
Amount
CVV2 (the 3-digit number printed on the signature panel at the back of the card)
In addition to the above, some websites may ask you to enter the Cardholder’s name.
Next, you will be required to authenticate the transaction by entering the 6-digit OTP (One Time Password).
Please refer the steps below:
The OTP will be automatically sent by our system to your registered mobile number via SMS, when you complete entry of the card details on the payment page.
The website will open a new window and display a HSBC VbV authentication screen.
At the VbV authentication screen, the transaction details (merchant name, amount, last 4 digits of the card number) will be displayed. Please confirm that the details are accurate.
Please enter the 6-digit OTP sent to your registered mobile number to initiate the authentication process.
The card details and the authentication results will be processed by our system and subject to correct card details and OTP being entered and account having adequate balance, the transaction will be approved.
On transaction approval, the website will display a payment received acknowledgement.
A transaction alert will be sent to your registered mobile number confirming the successful transaction."
Why is there need for a One Time Password (OTP) to complete an online transaction with the HSBC India Debit Card?,The OTP helps to protect against online fraud. It is a secure way to authenticate that the customer making the online transaction is the rightful owner of the card being used.
Will every website require the OTP to be entered for authentication?,"No, you will be asked to enter the OTP only if the website supports Visa debit cards for online transactions and supports the VbV authentication protocol.
Please note that, two factor authentication is compulsory for online transactions originating from websites/internet merchants in India. The authentication is done using the VbV authentication service as explained above.
In case you initiate an online transaction from an Indian website without VbV authentication, the transaction will be eclined."
"I am using my HSBC India Debit Card at an overseas website, do I need to enter the OTP for authentication?","As explained above, if the website supports the VbV authentication protocol, our system will automatically send you the OTP for authentication at the payment page.
However, if the overseas website does not support VbV authentication, the online transaction will be processed based on the card details without requiring the OTP for authentication.
However, please note that not all such transactions will be approved. If the online transaction is prohibited as per Indian regulations or is considered as high risk by HSBC, such transactions will not be approved."
Can I use the same One Time Password (OTP) for multiple transactions?,"No, your One Time Password (OTP) can be used for single transaction only."
What happens if I enter wrong OTP multiple times?,"In case of three successive wrong password attempts, your transaction will be declined."
"If I do not have my mobile phone registered with HSBC India, can I still make an online transaction with my HSBC India Debit Card?","Online transaction requires a One Time Password (OTP) to authenticate your transaction on website which supports VbV authentication protocol. HSBC provides the OTP on your registered mobile number and therefore, absence of a registered mobile number will not allow you to complete the online transaction.
We suggest that you register your mobile number with the Bank so that you are able to receive the OTP for online transaction authentication and also to receive transaction alerts.
You can call the HSBC PhoneBanking numbers for immediate updation of the mobile number subject to successful verifications."
Can the Bank resend the OTP to me due to non-receipt?,"The OTP will be sent to your registered mobile number as soon as the online transaction request is received by the Bank from the website. However, due to network issues there could be a delay in receipt of the OTP via SMS. To factor this, the OTP sent to your registered mobile number is valid for 5 minutes. In the event that you do not receive the OTP in 5 minutes, there will be an option provided in the HSBC VbV authentication screen to generate another OTP, which again would be valid for 5 minutes."
What should I do if I change my mobile phone number?,"As your mobile phone number will be the primary contact for your Bank to send you an OTP or SMS alert, you will need to ensure your new mobile phone number is updated with the Bank at the earliest. Please call PhoneBanking or use Internet Banking to get your mobile number updated on the Banks records."
Can I opt out of the OTP authentication service for online transactions?,"No, the OTP is mandatory for authentication at websites that accept Visa debit cards and support the VbV protocol."
I have a joint account and both accountholders have a HSBC India Debit Card. Can any of the debit cards be used for online transactions?,"Yes, however, please ensure you have updated your mobile number against each of your individual debit card to receive the OTP for completion of VbV authentication during the online transaction."
Is there any limit on the number of online transactions on my debit card?,"There is no limit on the number of online transactions, provided you have adequate balance in your account. Please note that cumulative value of your online transactions in a day cannot exceed the daily purchase limit on your debit card."
Do I have to pay for this service?,"No, you do not need to pay for this service."
Am I eligible?,"To apply for a Smart Money Account:
You should be a Resident Indian
You should be minimum 18 years of age
You should deposit a minimum deposit of INR25,000"
What is the balance I need to maintain in the savings account?,You do not need to maintain any balance in your Savings Account. In fact you can overdraw upto 90% of the total amount of all your linked fixed deposits.
How much will I be charged if I use the overdraft?,Interest on amount overdrawn will be charged at the rate of 2% over the weighted average of the interest rates applicable to the linked fixed deposits subject to a maximum of the Bank's Prime Lending Rate as may be declared by the Bank from time to time.
Does this mean that my fixed deposits will be broken before the due date?,Not at all. Your fixed deposits will remain untouched and will continue to earn interest at the rate fixed at the time of placement.
"How can I use the overdraft, do I get a chequebook for my savings account?","Yes, you will definitely get a free personalised chequebook for your savings account. You also earn savings interest on the credit balance that you may maintain in your savings account."
I have a savings account at your Fort branch and fixed deposits at Peddar Road branch. Can I open a SmartMoney Account?,Yes. Enjoy a SmartMoney Account even if you have your accounts across different HSBC branches.
What is Dematerialisation or Demat?,Dematerialisation (Demat) is the process of converting your physical (paper) shares into electronic form. Almost all share transactions now take place in Demat form.
How do I benefit from Demat?,"With Demat Services, you won't have to worry about bad deliveries, forgery and duplicate or stolen share certificates. Apart from safety, you can also save time required for executing transactions."
How can I open a HSBC Demat Account?,"You have to open a separate account for dematerialisation. Please visit any of our branches to open a demat account. If you already have a Demat account elsewhere, you could also transfer the balance by requesting for a transfer."
How can I buy and sell my shares after Demat?,"You can continue to buy and sell shares, as usual, through your broker. After you sell shares, you need to instruct HSBC in writing by submitting a duly filled in Delivery Instruction Form to transfer your shares held in the demat form. Shares bought by you will be automatically credited into your account."
What happens to my Bonus and Rights Issues?,"You don't have to worry at all. We'll receive New Issues, Rights and Bonus Issues in Demat form on your behalf. Do remember to instruct your company accordingly."
How can I keep a track of my share portfolio?,We will provide to you statements monthly if you have transacted in the preceding month and annually which shows the current portfolio of your shares.This helps you keep a record of your shares and further ensures their safety. Opting for IDeAS on NSDL website (nsdl.co.in) enables you to view details of your holdings on the Internet.
Why is HSBC the right choice?,You can expect the same high quality service from our Depository Services that is synonymous with HSBC.
What is the minimum tenure for which I can place a fixed deposit?,7 Days.
Do I get the facility of crediting my interest earned to another account when I place a fixed deposit?,"Yes, you get to choose between placing a cumulative or non-cumulative deposit at the time of account opening. In a non-cumulative deposit, the interest earned will be paid on a periodical basis whereas in a cumulative deposit the interest earned will be ploughed back with the principal deposit amount."
Will my deposit get automatically renewed?,"On maturity of your deposit, we will undertake the necessary action as per the maturity instructions specified by you in the account opening form. In case there are no maturity instructions provided in the form or we do not receive any other instructions from you prior to maturity, we will automatically renew your deposit for the same period at the prevailing rates of interest on maturity."
What interest rate will I get if I encash my fixed deposit prematurely?,"The Bank, on request from a depositor, would allow withdrawal of a Fixed Deposit before completion of the period of the deposit agreed upon at the time of placement of the deposit subject to penalty on premature withdrawal of Fixed Deposit as may be applicable at the time of withdrawal. With effect from 01 October 2013, fixed deposits will attract a penal rate of 1%, on premature withdrawal, irrespective of the amount placed under the fixed deposit, the date of placement or the date of premature withdrawal.
The interest paid will be lower by the Penal Rate i.e. 1%, from the rate prevailing on the date of placement of the deposit for the period for which the deposit remained with the Bank or the contractual rate, whichever is lower. No interest will be paid on premature withdrawals of deposit which has remained with the Bank for less than the minimum period for which deposits were being accepted for the said currency and deposit type, as on the date of placement of deposit"
What is the new provision regarding mandatory quoting of Permanent Account Number (PAN)?,"Finance (No.2) Act, 2009 (Act) with the introduction of new section 206AA in the Income-tax Act,1961 has made it mandatory for payers to withhold tax at higher rates if payee does not provide its Permanent Account Number (PAN).
As per this provision, if PAN is not updated or is incorrect, tax will be deducted at source at the higher of the following rates:
At the rates prescribed in the Act; or
At the rates in force (which includes the tax treaty rates); or
At the rate of 20%."
Is this provision applicable even if the customer submits Form 15 H/Form G?,"Yes, this provision is applicable even if the customer submits Form 15G/15H. Customer needs to furnish the PAN to avail the benefit available under Form 15G/15H."
Is this provision applicable to senior citizens also?,"Yes, this provision applies to all assesses i.e. it is applicable to senior citizens as well."
In case the customer's interest income does not exceed the threshold; would this provision be applicable to him as well?,"No, this provision is applicable only when tax is deductible under the provisions of the Income-tax Act, 1961. In cases where income credited or likely to be credited is not exceeding the threshold limit, this provision would not be applicable."
"In case customer has not provided PAN and tax gets deducted at a higher rate, will Bank be able to reverse the same if PAN is provided by the customer subsequently?","No, when tax is deducted by the bank, it is duly deposited with the government within the applicable due date. Hence once tax is deducted at a higher rate, due to non-availability of the PAN at the time of deduction, the bank would not be able to reverse the same if PAN is provided by the customer post deduction of tax."
"In case TDS is deducted at higher rates, will the customer be able to take refund from IT authorities if he provides PAN at the time of filing the return?","Yes, if customer has PAN at the time of filing of his return of income, then he can claim the excess tax amount deducted. Income tax authorities will scrutinize his claim and then issue the refund accordingly."
"In case customer has applied for a PAN, can the Bank deduct TDS at the normal rate based on the PAN application?","No, unless the customer furnishes his PAN, the bank will not be able to deduct TDS at the normal rate on the basis of his PAN application."
"In case customer does not have PAN, will he be able to place Fixed Deposit with Form 60?","Customer can place deposit with Form 60, however, interest accrued on his deposit will be liable for TDS at higher rates if (1) interest accruing on his deposit is exceeding the threshold limit on which tax is not deductible and (2) the customer has not submitted his PAN to the Bank."
Whether this provision applies to Non-resident also?,"Yes, this provision is applicable to non-residents also."
Can customer claim the benefit of lower rate of tax deduction on the basis of tax treaty even if he does not have PAN?,"No, customer would not be eligible to claim the benefit under the tax treaty if he does not furnish the PAN."
How do I contact HSBC for any queries or service requests?,"All account holders
The email address 'info@hsbc.co.in' is no longer in use. If you are looking for information about our products or services or have other queries, please refer to our comprehensive FAQs. In case you’re still unable to find the answer to your question, you can talk to a representative by selecting the Live Chat tab on this page. Live Chat can provide general information on the products and services, but for information related to your accounts, please call HSBC Phone Banking.
There are three easy ways to raise a service request with us:
Log on to Personal Internet Banking and send us a secured email. Click here if you have already registered for internet Banking. If you wish to register, please click here.
Call HSBC Phone Banking : Our Phone Banking executives can process the following requests only when you verify your Phone Banking Pin (subject to certain conditions).
Change in select demographic details such as mobile number, e-mail, mailing address.
Request for select deliverables such as debit card, debit card Pin, credit card & credit card Pin.
Maintenance requests such as placement of fixed deposit, change of maturity instructions, premature withdrawal of singly held deposits.
Visit your nearest HSBC India branch.
If you wish to register a complaint, please complete an online form.
If your card has been lost or stolen or you suspect any fraudulent account activity or for any urgent matter, please contact HSBC Phone Banking."
Which HSBC Credit Cards can I apply for?,"HSBC Credit Cards have been designed to complement your lifestyle. We currently offer credit cards which extend a host of offers ranging from travel privileges to dining, shopping and more.
Please visit the credit cards section
credit cards section View credit cards on offer from HSBC
on our website for details on the various credit cards we offer, product features, benefits and the eligibility criteria."
What documentation do I need to provide when applying for an HSBC Credit Card?,"Self-attested recent passport size photograph of the applicant
Self-attested copy of a valid photo identity document (please refer to the list below for details)
Self-attested copy of your residence address proof (please refer to the list below for details)
Self-attested copy of the latest salary slip or income tax returns or Form 16
Please note that the original documents need to be originally sighted and verified by a bank official."
How do I apply for an HSBC Credit Card?,"To apply for an HSBC Credit Card you can:
Visit the credit card section on our website www.hsbc.co.in/credit-cards/
www.hsbc.co.in/credit-cards/ View credit cards on offer from HSBC
. Simply click the ""Apply Now"" icon to initiate your application or
Call our HSBC PhoneBanking numbers and we will arrange for a representative to visit you or
Visit the nearest HSBC branch in India"
"I have applied for an HSBC Credit Card, how can I check on the status of this?","You will receive timely alerts on the credit card application status by way of an SMS on the mobile number stated on your application form. Alternatively, you may also check the status of your application by calling our PhoneBanking number in your city."
How long does it take to receive an HSBC Credit Card?,"Once we have received your application form complete in all respects along with all the required documents, your application will be processed within two weeks. You will receive your new credit card in 7 working days, once your application is approved. The Bank will send you timely alerts on the credit card application status by way of an SMS on the mobile number stated on your application form."
How can I check the status of my credit card consignment?,"Once your credit card is dispatched, you will receive the dispatch details by way of an SMS on your mobile number registered with us.
You can track the status of the shipment using the Airway Bill on the courier’s website.
BLUE DART - Bluedart.com
Bluedart.com Visit the blue dart website This link will open in a new window
DHL - Dhl.com
Dhl.com Visit the DHL website This link will open in a new window
If you need any further assistance, please call our PhoneBanking number."
I have not received my card statement?,"Your credit card statement is couriered to your mailing address and the Airway Bill number (courier reference number) would have been sent by way of an SMS. The Bank also sends out statements by e-mail to your personal e-mail address registered on the Bank’s record.
Customers who have self-registered for Internet Banking service, can view and download their credit card statement online; just visit the Ways to Bank section
Ways to Bank section Visit the ways to bank section
on our website. In case you need any further assistance, please call our PhoneBanking service."
How do I register for e-statements?,"Log onto HSBC’s Internet Banking.
Set up a one-time request by clicking on the ""Request e-statements/e-Advice"" option in the Main Menu.
We will send you a secure mail and an SMS alert informing you when your e-statement is ready.
Please note that the statements will be held on your HSBC Internet Banking account for 11 months for cards and 15 months for bank accounts. You may download these statements onto your computer, if you want to store them for a longer period."
Can I use my HSBC Credit Card as soon as I receive it?,"All Chip cards are sent in a deactivated state and need to be activated. If a card has been sent to you in a deactivated state, the same will be indicated by a sticker on the card sent to you.
You may activate the card in any of the following ways:
Use your ATM PIN to activate the card on an HSBC ATM
Perform a PIN based transaction
Call HSBC India PhoneBanking"
How can I change my PIN?,You can change your PIN at an HSBC ATM in India and Overseas.
What fees and charges are linked to the credit card?,"HSBC offers various credit cards to suit your needs. The fees and charges for each credit card may differ.
You can visit www.hsbc.co.in/credit-cards/
www.hsbc.co.in/credit-cards/ View credit cards on offer from HSBC
to view the fees and charges for the various credit cards we offer."
How many additional cards can I request for on my credit card?,You can apply for upto 3 additional (add-on) cards in addition to the primary card. The add-on cards can be issued to immediate family members. The credit limit assigned to the primary card is shared between the primary and the add-on Cardholders and the primary Cardholder is responsible for the payment of outstanding against these cards.
How can I apply for additional card(s)?,"You can fill the add-on card request form (available on our website www.hsbc.co.in
www.hsbc.co.in visit the HSBC India homepage
under applications) and submit it across the counter at an HSBC branch along with mandatory documents listed in the application. Please carry your original documentation for validation by the Branch Officer."
Is there a rewards programme linked to my credit card?,HSBC offers various credit cards to suit your needs. The rewards programme for each credit card may differ. You can visit www.hsbc.co.in/credit-cards/rewards/ to view the ongoing rewards programme for the various credit cards we offer.
How long are my reward points valid?,Classic and Gold
How do I redeem my reward points?,"You can redeem these points for a range of redemption options including garments, home appliances, cosmetics, gift vouchers, airline miles and donation to charities. Please visit the credit cards - rewards programme section on our website to view all the redemption options.
To redeem your reward points, use any of the below options:
You can access the online credit card rewards catalogue on www.hsbc.co.in
www.hsbc.co.in Visit the HSBC India homepage
. Please note, you need to have registered for
Internet Banking ID to be able to redeem your points online
You can download the rewards redemption form from our website www.hsbc.co.in
www.hsbc.co.in Visit the HSBC India homepage
and mail it to HSBC Card Products Division,
Post Bag Number 5080, Chennai - 600 028
You can call our PhoneBanking number and request a redemption on the IVR or by speaking with a PhoneBanking Officer"
Where can I see the offers available on my HSBC Credit Card?,"You can visit the special offers and discounts section within the credit card section on our website www.hsbc.co.in
www.hsbc.co.in Visit the HSBC India homepage
to view the current offers on your credit card."
What is the CVV number?,"The CVV Number (Card Verification Value) on your credit card or debit card is a 3-digit number on Visa and MasterCard® credit and debit cards. The CVV should not be disclosed to any person other than the Cardholder. Your CVV number can be located by looking on your credit or debit card, as illustrated in the image below:"
What is the interest free credit period on the HSBC Credit Card?,"Interest free credit period is provided upto 52 days. Please note that the interest free credit period is not valid, if any balance of the previous month’s bill is outstanding or in the event of making part/minimum outstanding payment."
How are finance and late charges calculated?,"You can refer to the most important terms and conditions sent along with your credit card to view the charges applicable and the calculation for the same for your credit card. Alternatively, you can visit the credit card section on our website www.hsbc.co.in
www.hsbc.co.in Visit the HSBC India homepage
for the said details."
Will I be charged anything extra if I use my card overseas?,Your cards are valid internationally and there will be no extra charge levied for usage at points of sale however the currency conversion charge will apply. You'll be charged a transaction fee for cash withdrawals at ATMs abroad. Refer to the Tariff Sheet in the Service Guides of the respective credit cards.
How can I make payments on my credit card account,"Here are some easy ways to pay your HSBC Credit Card bill:
National Electronic Funds Transfer (N.E.F.T.)
Make a payment towards your HSBC Credit Card account via National Electronic Fund Transfer (N.E.F.T.), mentioning the complete 16-digit HSBC Credit Card number. The IFSC code for HSBC is HSBC0400002
Drop-boxes
Drop your draft/cheque at your nearest Skypak or M.I.N.C. drop-boxes. Download an exhaustive list (PDF, 259 KB)
Download an exhaustive list (PDF, 259 KB) Download now
of the Skypak and M.I.N.C. drop-boxes
Mail cheque/draft
Mail your cheque/draft to your nearest HSBC branch. Log onto www.hsbc.co.in to view a list of our branches
Standing Instructions (Option available for HSBC bank accountholders only)
Issue standing instructions to debit your HSBC Savings/Current account
Internet Banking (Option available for HSBC bank accountholders only)
Pay online by logging onto HSBC Personal Internet Banking
Over the counter
Pay by cash or cheque at any HSBC branch in India. A ""Cash Payment Charge"" of ₹100, or any other sum as may be decided from time to time, will be levied for HSBC Credit Card bill payments made in cash at HSBC branches and drop-boxes
PhoneBanking (Option available for HSBC bank accountholders only)
Make a PIN verified call and make your payment over the phone
Through ATMs
Deposit cash or cheque at any HSBC ATM in India. You could also make an ATM funds transfer
Electronic Clearing System (E.C.S.) (Option available in select cities only)
Authorise HSBC to debit an account that you hold with any other bank
You can call our PhoneBanking Officers for more details on any of the above payment channels. You can also visit our website www.hsbc.co.in
www.hsbc.co.in Visit the HSBC India homepage"
What is the minimum monthly repayment on my HSBC Credit Card?,Your monthly payment should cover at least the minimum amount due. Minimum Payment Due (MPD) is the sum of 5% of the total payment due and the greater of the past due amount and overlimit amount (if any). For e.g. i.e. MPD = 5% of total payment due + greater of (past due; overlimit amount) + Equated Monthly Instalment* (EMI) amounts due (if any).
How long does it take for a cheque payment to clear on my credit card?,Your cheque payment deposited will take 3 working days to reflect in your card account.
What do I do if I have lost my HSBC Credit Card?,"In the event that you lose your credit card, please:
Report the loss to HSBC PhoneBanking or to the Visa Global Emergency Assistance Helplines immediately
Request replacement at HSBC PhoneBanking/Branch/Internet Banking
File a police report for the lost/stolen HSBC Credit Card
Please confirm the loss in writing to, The Manager, Credit Cards, Post Box Number 5080, Chennai – 600 028
If you recover your HSBC Credit Card after you have reported its loss, please do not attempt to use it.
Instead, please destroy the HSBC Credit Card by cutting it into several pieces and report the same to HSBC."
How do I register for Internet Banking?,"Registering for HSBC’s Internet Banking service is a simple one-time activity. Self-register with any one of the combinations below:
Your 10-digit Personal Banking Number (PBN), and your 6-digit PhoneBanking PIN; or
Your credit card number and credit card ATM PIN; or
Your ATM card number and ATM PIN; or
Your debit card number and debit card PIN. Please note, you should have activated your ATM/debit card by using it at an HSBC ATM at least once"
How do I set up a direct debit to pay my credit card account?,You will need to visit the nearest HSBC bank branch to set up a direct pay instruction from your HSBC account.
What do I do if my HSBC Credit Card is damaged?,Please call HSBC PhoneBanking number or send a secured message (by logging onto Internet Banking) to replace the credit card.
"Will I automatically receive a new HSBC Credit Card, if my existing credit card is about to expire?","Yes, you will receive a new HSBC Credit Card 2-3 weeks prior to expiry of the credit card."
How can I decrease my credit limit?,You can call HSBC PhoneBanking or send a secured message (by logging onto Internet Banking) to request for a decrease in limit on your credit card. This is subject to the minimum limits set by HSBC on your credit card.
How can I increase my credit limit?,"You can apply for an increase in credit limit by filling up the ""Credit Limit Enhancement Form"" available under the Application Forms section of our website www.hsbc.co.in
www.hsbc.co.in visit the HSBC India homepage
. You are also requested to submit necessary documents with the credit limit enhancement form. In such case, HSBC request you for financial documents and may at its sole discretion, increase the credit limit post necessary credit checks."
Can I use my HSBC Credit Card at an ATM to withdraw cash?,"You will be able to withdraw cash at an ATM, provided the withdrawal amount is within your cash withdrawal limit. Cash withdrawal limit is communicated to you at the time of delivery of the card and is also indicated in your monthly card statement.
You can visit www.hsbc.co.in/credit-cards/
www.hsbc.co.in/credit-cards/ View credit cards on offer from HSBC
page to view the fees and charges for cash withdrawal on your card."
How can I close my HSBC Credit Card account?,"You can exercise any of the following options to initiate closure of your HSBC Credit Card:
Login to HSBC Internet Banking with your user ID and password and submit your request
You can also call HSBC PhoneBanking and register a card closure request
Alternatively, can submit a written request at any HSBC branch
Please remember to cut your card into pieces across the Chip and magnetic stripe, post-submission of your closure request."
How do I query a transaction on my credit card statement?,"You can exercise any of the following options for transaction query on your HSBC Credit Card:
Login to HSBC Internet Banking with your user ID and password and submit your request by sending us a secured e-mail
You can also call HSBC PhoneBanking"
"What should I do if I suspect, there has been fraudulent activity on my credit card?","In the event, you suspect fraudulent activity on your card, please immediately:
Notify the Bank. Please call our PhoneBanking numbers
Block the card
Request for a replacement
Please mail the completed customer dispute form (please refer to our website www.hsbc.co.in under application forms) and the relevant documents to
Charge Back Section, Credit Card Division, Post Box Number 5080, Chennai – 600 028.
Please refer to www.hsbc.co.in/credit-cards/
www.hsbc.co.in/credit-cards/ View credit cards on offer from HSBC
for service guide and most important terms and conditions to view the claims process for the relevant card."
How do I change my personal details?,You may update your contact number/e-mail ID by logging onto HSBC Internet Banking or by calling our PhoneBanking numbers.
How do I make an HSBC Credit Card insurance claim?,"Please contact the toll free number of ICICI Lombard, to register the claim visit Icicilombard.com
Icicilombard.com Visit the Icic Lombard website This link will open in a new window
. You are also required to file a police report for the lost/stolen HSBC Credit Card and send a copy of the acknowledged police report directly to ICICI Lombard General Insurance Company Ltd. to enable them to process the insurance claim.
The following documents are required to file the claim with ICICI Lombard General Insurance Company Ltd."
"I can’t remember my ATM PIN, what should I do?","You can request for a new PIN in any of the following ways:
Call our PhoneBanking numbers
Send a secured message after logging into Internet Banking
Visit the branch to place the request
The ATM PIN will be dispatched to your mailing address within 7 working days of placing the request."
"I can’t remember my PhoneBanking PIN, what should I do?",You can re-generate the PhoneBanking PIN by calling our HSBC PhoneBanking number. Please keep your ATM PIN handy to generate the new telephone PIN. Follow the IVR to generate the new telephone PIN yourself. You can alternatively speak to our service advisors who will be eager to assist you with the telephone PIN.
How can I stop a recurrent credit card transaction?,The recurring debit may originate from a debit mandate that you may have given to a merchant establishment. Please approach the same merchant to cancel the recurring debit instruction.
What is Balance transfer on EMI?,Balance transfer on EMI is a feature that allows you to transfer the outstanding balance from your other credit cards to your HSBC Credit Card and repay in easy monthly instalments.
How does Balance transfer on EMI benefit me?,"This feature allows you to transfer other bank credit card outstanding dues for repayment at lower interest rates, hence, saving your interest costs that may have been applicable on the other card, in case of part payment."
How do I know if I am eligible and whom do I contact for the Balance Transfer?,You may call up our PhoneBanking services for checking your eligibility.
What is the minimum amount that can be transferred from any other bank card?,"The minimum amount that can be transferred from any other bank credit card account to the Cardholder’s HSBC Credit Card is ₹3,000."
What is the maximum amount that can be transferred from any other bank card?,"The maximum amount that can be transferred from other bank credit cards to the Cardholder’s HSBC Credit Card is upto 90% of the credit limit on the Cardholder’s HSBC Credit Card subject to available balance as on the date of approval of the Cardholder’s application.
If the amount to be transferred to the HSBC Credit Card exceeds 90% of the credit limit on the date of acceptance by HSBC, HSBC will not be able to process the request and the same will be intimated to you. HSBC will transfer the amount by way of a demand draft sent to your mailing address or directly to the other bank through electronic transfer."
What is the tenure for which I can avail the Balance Transfer facility?,"You have the option of various tenures viz. 6 months, 12 months, 18 months and 24 months"
Can I transfer balance from more than one credit cards?,"The Cardholder can transfer outstanding balance from one or more select other bank credit cards under the same or different balance transfer options, within his credit limit. However, the customer cannot transfer such balance from his/her other HSBC Credit Card."
What is the rate of interest that I will be charged for the Balance Transfer facility?,"The interest rate chargeable depends on the type of card you hold and the plan you choose. The interest rates ranging from 15% p.a. to 19.8% p.a. There is also a one time processing fee ranging from 1% to 2%. For more details you can call HSBC PhoneBanking number or visit www.hsbc.co.in
www.hsbc.co.in Visit the HSBC India homepage"
How will my credit card limit be affected?,Balance transfer transaction will block the available credit limit on the Cardholder’s credit card upto the amount of balance transfer-on-EMI availed including applicable charges and Service Tax.
What happens when I have applied for multiple balance transfers across various options?,"In the event, a Cardholder transfers different amounts under different balance transfer options, the repayment will be allocated to the balance transfers in decreasing order of the interest rates i.e. the repayment will be apportioned first to the highest interest balance transfer for the Cardholder. In case a Cardholder has availed of two or more separate balance transfers of the same tenure, the repayment will be allocated in the same sequence that the balance transfers have been applied for."
Do I have the option to pre close the Balance Transfer facility?,Pre-payment charges on foreclosure of Balance transfer facility will not apply.
What if I close my card account while the Balance Transfer EMI is being serviced?,"If the Cardholder closes his card before all applicable EMIs are posted to the card account, the outstanding Balance transfer-on-EMI amount will be debited to the card account as one consolidated amount which will be due for payment."
What is Cash-on-EMI?,The Cash-on-EMI facility allows the Cardholder to avail the cash advance facility on his/her HSBC Credit Card and repay the same in Equated Monthly Instalments (EMIs).
How does Cash-on-EMI benefit me?,This facility allows you to avail a cash advance facility without any documentation and also save your interest costs.
How do I know if I am eligible and whom do I contact for the Cash-on-EMI facility?,You may call up our PhoneBanking services for checking your eligibility.
What is the minimum amount that can be availed under the Cash-on-EMI facility?,"The minimum amount eligible for the Cash-on-EMI facility will be ₹5,000 subject to eligibility."
What is the maximum amount that can be availed from any other bank card?,"The maximum amount that can be offered is upto 90% of the credit limit on the Cardholder’s HSBC Credit Card subject to available balance as on the date of approval of the Cardholder’s application. If the outstanding balance on the HSBC Credit Card exceeds 90% of the credit limit on the date of acceptance by HSBC, HSBC will not be able to process the request and the same will be intimated to the customer."
What is the tenure for which I can avail the Cash-on-EMI loan?,"You have the option of various tenures viz. 6 months, 12 months, 18 months and 24 months."
What is the rate of interest that I will be charged with the Cash-on-EMI facility?,"The interest rate chargeable depends on the type of card you hold and the plan. The interest rates range from 18% p.a. to 23.88% p.a. In addition, there is a one-time processing fees ranging from 2% to 5% applicable. For more details please contact HSBC PhoneBanking numbers."
What if I close my card account while the Cash-on-EMI is being serviced?,"If the Cardholder closes his card before all applicable EMIs are posted to the card account, the outstanding Cash-on-EMI amount will be debited to the card account as one consolidated amount which will be due for payment."
Do I have the option to pre close Cash-on-EMI facility?,"Yes, you can certainly pre close ""Loan On Phone"" facility. Prepayment charges on foreclosure will apply at the rate of 3% on the outstanding amount of the loan, subject to a minimum of ₹250."
What is Loan On Phone?,"Loan On Phone (L.O.P.) is a facility by which the Cardholder can make purchases on the HSBC Credit Card and then convert the purchase amount into instalments. The Cardholder can make the purchase at any merchant establishment and post purchase, get the transaction converted into an L.O.P. within 15 calendar days of the purchase transaction."
How does Loan On Phone benefit me?,This facility allows you to convert your outstanding balance into Equated Monthly Instalments (EMIs).
How do I know if I am eligible and whom do I contact for the Loan On Phone?,You may call up our PhoneBanking services for checking your eligibility.
What is the minimum amount that can be availed under the Loan On Phone facility?,"The value of the transaction should be greater than ₹2,000 to be eligible for conversion to a Loan On Phone. Other debit transactions like cash withdrawals and card fees will not be eligible for this facility."
What is the tenure for which I can avail the Loan On Phone loan?,"You have the option of various tenures viz. 6 months, 12 months, 18 months and 24 months."
What is the rate of interest that I will be charged for the Loan On Phone facility?,"The interest rate chargeable depends on the type of card you hold and the plan. The interest rates range from 18% p.a. to 23.88% p.a. In addition, there is a one-time processing fees ranging from 2% to 5% applicable. For more details please contact HSBC PhoneBanking numbers."
What if I close my card account while the Loan On Phone EMI is being serviced?,"If the Cardholder closes his card before all applicable EMIs which are posted to the card account, the outstanding Loan On Phone amount will be debited to the card account as one consolidated amount."
Do I have the option to pre close the Loan On Phone facility?,"Yes, you can certainly pre close ""Loan On Phone"" facility. Prepayment charges on foreclosure will apply at the rate of 3% on the outstanding amount of the loan, subject to a minimum of ₹250."
What is balance conversion?,"In balance conversion, the Cardholder can convert the retail outstanding balance on HSBC Credit Card, due to HSBC, either billed or unbilled by request, into EMIs."
How does Balance Conversion benefit me?,This facility allows you to convert your outstanding balance into Equated Monthly Instalments (EMIs).
How do I know if I am eligible and whom do I contact for the Balance Conversion facility?,You may call up our PhoneBanking services for checking your eligibility.
What is the minimum amount that can be availed under the EMI facility?,"Minimum amount that you may convert into EMI should be greater than ₹5,000."
